Month,Region,Product,Units,Revenue,Profit
Jan,North,Laptop,120,42000,9800
Jan,South,Phone,200,28000,6400
Jan,East,Tablet,150,21000,4200
Feb,North,Monitor,90,18000,3600
Feb,South,Laptop,140,49000,12000
Feb,West,Phone,160,23000,5200
Mar,East,Laptop,180,62000,14500
Mar,North,Phone,220,31000,7600
Mar,West,Tablet,170,26000,5100
Apr,South,Monitor,100,21000,4400
Apr,East,Phone,210,29000,6800
Apr,West,Laptop,160,56000,13400
May,North,Tablet,130,19000,3900
May,South,Laptop,200,70000,16500
May,West,Phone,240,34000,8100
Jun,East,Monitor,120,25000,5200
Jun,North,Laptop,170,59000,13800
Jun,South,Phone,180,26000,5600
Jul,West,Laptop,150,51000,11800
Jul,East,Tablet,140,20000,4000
Aug,North,Phone,200,30000,7200
Aug,South,Tablet,160,23000,4700
Aug,West,Monitor,110,22000,4600
Sep,East,Laptop,190,65000,15400
Sep,North,Monitor,140,29000,6100
Sep,South,Phone,230,33000,7900
Oct,West,Laptop,180,62000,14300
Oct,East,Phone,220,31000,7400
Oct,North,Tablet,150,22000,4500
Nov,South,Laptop,210,72000,17000
Nov,West,Phone,260,37000,8900
Dec,East,Monitor,160,33000,7100
Dec,North,Laptop,220,76000,18100
Dec,South,Tablet,190,27000,5400
